Index,tag,Frequency,err,LgInt,dr,ELO,gup,qn1,qn2,qn3,qn4,qn5,qn6,qnn1,qnn2,qnn3,qnn4,qnn5,qnn6,Formula,qnfmt,qlog300,qlog225,qlog150,qlog75,qlog37,qlog18,qlog9,Transition,CHECK,Source,delta x,delta y,C,Area,delta Area,Width,delta Width,Velocity,delta Velocity,Intensity,delta Intensity,Continuum,delta Continuum,Cont.Size,Fraction,SourceSize,delta SourceSize,Telescope,N/EM,delta N/EM,Tex/Te,delta Tex/Te,Tbg,tau/taul,delta tau/taul,Filtered
13,46005,110340.07,0.05,-5.436,3,33.4039,19,9,1,8,,,,9,0,9,,,,HCOOH,303,3.9486,3.7612,3.4971,3.0357,2.5949,2.1461,1.6984,"9,1,8-9,0,9",true,,0.0,0.0,1,4.15653360712039E-5,,0.28281462,-10.0,5.8,-10.0,1.3806879860346128E-4,,0.0,0.0,0.0,,0.0,-10.0,22.295,12.287221,-10.0,9.7,-10.0,0.0,2.1563199275277855E-5,0.0,true
14,46005,110413.5994,0.0343,-6.1875,3,49.9937,19,9,3,6,,,,10,2,9,,,,HCOOH,303,3.9486,3.7612,3.4971,3.0357,2.5949,2.1461,1.6984,"9,3,6-10,2,9",true,,0.0,0.0,1,6.803571799601195E-7,,0.28281462,-10.0,5.8,-10.0,2.259971086622225E-6,,0.0,0.0,0.0,,0.0,-10.0,22.28,12.287221,-10.0,9.7,-10.0,0.0,3.529906551126378E-7,0.0,false
15,46005,112891.41,0.05,-4.1449,3,16.3522,11,5,2,3,,,,4,2,2,,,,HCOOH,303,3.9486,3.7612,3.4971,3.0357,2.5949,2.1461,1.6984,"5,2,3-4,2,2",true,,0.0,0.0,1,0.009079766682859789,,0.28281462,-10.0,5.8,-10.0,0.030134906107426213,,0.0,0.0,0.0,,0.0,-10.0,21.791,12.287221,-10.0,9.7,-10.0,0.0,0.004735511426967053,0.0,true
16,46005,114198.63,0.05,-5.9343,3,122.0836,35,17,2,15,,,,16,3,14,,,,HCOOH,303,3.9486,3.7612,3.4971,3.0357,2.5949,2.1461,1.6984,"17,2,15-16,3,14",true,,0.0,0.0,1,3.729816926382658E-11,,0.28281462,-10.0,5.8,-10.0,1.2389592870486098E-10,,0.0,0.0,0.0,,0.0,-10.0,21.542,12.287221,-10.0,9.7,-10.0,0.0,1.946198712449387E-11,0.0,false
17,42002,79180.6683,1.5265,-5.9387,3,149.2827,123,20,1,19,,,,20,1,20,,,,CH2CO,303,4.0138,3.8218,3.5358,3.1092,2.66,2.1965,1.6774,"20,1,19-20,1,20",true,,0.0,0.0,1,5.49105734248137E-13,,0.69676554,0.24919643,5.9458675,0.105816655,7.401469740032213E-13,,0.0,0.0,0.0,,0.0,-1.0,31.069,11.859773,11.289005,9.70008,2.7283905,0.0,1.1106454552177886E-13,6.434915960515815E-13,false
18,42002,80802.1368,0.0238,-4.5369,3,86.2468,27,4,3,2,,,,3,3,1,,,,CH2CO,303,4.0138,3.8218,3.5358,3.1092,2.66,2.1965,1.6774,"4,3,2-3,3,1",true,,0.0,0.0,1,1.1468986347268076E-7,,0.69676554,0.24919643,5.9458675,0.105816655,1.546344196042059E-7,,0.0,0.0,0.0,,0.0,-1.0,30.445,11.859773,11.289005,9.70008,2.7283905,0.0,2.3237073466618514E-8,7.402604038002389E-8,false
19,42002,80802.1383,0.0238,-4.5369,3,86.2468,27,4,3,1,,,,3,3,0,,,,CH2CO,303,4.0138,3.8218,3.5358,3.1092,2.66,2.1965,1.6774,"4,3,1-3,3,0",true,,0.0,0.0,1,1.1468986104942075E-7,,0.69676554,0.24919643,5.9458675,0.105816655,1.5463441664895088E-7,,0.0,0.0,0.0,,0.0,-1.0,30.445,11.859773,11.289005,9.70008,2.7283905,0.0,2.3237072957536467E-8,7.402603880653898E-8,false
20,42002,80820.4798,0.0229,-4.6844,3,40.4586,9,4,2,3,,,,3,2,2,,,,CH2CO,303,4.0138,3.8218,3.5358,3.1092,2.66,2.1965,1.6774,"4,2,3-3,2,2",true,,0.0,0.0,1,5.834288687807773E-5,,0.69676554,0.24919643,5.9458675,0.105816655,7.866256830097929E-5,,0.0,0.0,0.0,,0.0,-1.0,30.438,11.859773,11.289005,9.70008,2.7283905,0.0,1.182101819651019E-5,1.5839271471258584E-5,true
21,42002,80824.3813,0.0229,-4.6843,3,40.4587,9,4,2,2,,,,3,2,1,,,,CH2CO,303,4.0138,3.8218,3.5358,3.1092,2.66,2.1965,1.6774,"4,2,2-3,2,1",true,,0.0,0.0,1,5.835190489819165E-5,,0.69676554,0.24919643,5.9458675,0.105816655,7.867472709279237E-5,,0.0,0.0,0.0,,0.0,-1.0,30.437,11.859773,11.289005,9.70008,2.7283905,0.0,1.1822897119937014E-5,1.5841873605989872E-5,true
22,42002,80832.1893,0.0245,-4.4835,3,4.0446,9,4,0,4,,,,3,0,3,,,,CH2CO,303,4.0138,3.8218,3.5358,3.1092,2.66,2.1965,1.6774,"4,0,4-3,0,3",true,,0.0,0.0,1,0.017222567451631542,,0.69676554,0.24919643,5.9458675,0.105816655,0.02320627722637017,,0.0,0.0,0.0,,0.0,-1.0,30.434,11.859773,11.289005,9.70008,2.7283905,0.0,0.0034934437525095756,0.002101663849471221,true
